id;title;description;from_date;to_date;status;department;changed_at
1;gladly bamboo oof;espouse simplistic;2024-07-19;2024-07-19;REQUESTED;SALES;2024-07-19T07:38:24
2;wherever shabby since;revitalisation beyond gorgeous;2024-07-19;2024-07-19;REQUESTED;FINANCE;2024-07-18T22:04:34
3;versus;sup wherever generous;2024-07-19;2024-07-18;REJECTED;RH;2024-07-19T21:04:00
4;but shyly toward;around name mammoth;2024-07-19;2024-07-19;REQUESTED;MARKETING;2024-07-19T10:48:58
5;linguistics divan amid;opposition;2024-07-19;2024-07-19;REQUESTED;RH;2024-07-19T02:31:59
6;throughout;commerce officially worship;2024-07-19;2024-07-19;APPROVED;IT;2024-07-19T07:11:50
7;meanwhile trumpet;knavishly overfly progenitor;2024-07-19;2024-07-19;REJECTED;RH;2024-07-19T17:26:00
8;naturally yuck at;failing;2024-07-19;2024-07-19;APPROVED;IT;2024-07-19T15:47:12
9;kosher huzzah;uh-huh switching what;2024-07-19;2024-07-18;REQUESTED;FINANCE;2024-07-19T07:34:23
10;since;skew up;2024-07-19;2024-07-19;REQUESTED;MARKETING;2024-07-19T17:07:23
